nk,k,coord,n_samples,psi[0]_mean,psi[0]_sem,Jpsi[0]_y_mean,Jpsi[0]_y_sem,vx_mean,vx_sem,pi_xy_mean,pi_xy_sem
1,0.0015339807878856412,234.66666666666666,72,0.005960540296148111,3.8322717262555404e-05,-1.7126203689143584e-05,5.3371673344562383e-08,-6.399694363266027e-05,3.8923620642768935e-05,-1.2090733993003532e-07,6.192171977043498e-07
1,0.0015339807878856412,256.0,72,0.006477242089686832,3.863094584796705e-05,-1.6904623789479044e-05,5.339258361649095e-08,-7.418634735179488e-05,3.845951447197396e-05,6.83653385258672e-07,5.139593540189002e-07
1,0.0015339807878856412,277.3333333333333,72,0.006986947406418315,3.899890714683167e-05,-1.6664710519523397e-05,5.342855145047136e-08,-6.626246845416323e-05,3.843974280077636e-05,4.278688402083517e-07,4.7564081294744836e-07
1,0.0015339807878856412,298.66666666666663,72,0.007489117000324373,3.9407282500778356e-05,-1.640662297648833e-05,5.348315980150479e-08,-5.7616674288534336e-05,3.983411765737188e-05,1.6569847144034725e-07,4.960435453279106e-07
1,0.0015339807878856412,320.0,72,0.007982965191548175,3.987840647172303e-05,-1.613119649287891e-05,5.351026796855645e-08,-6.180853347501024e-05,4.24273561975266e-05,9.873189296995884e-07,5.422283980015583e-07
1,0.0015339807878856412,341.3333333333333,72,0.00846798457394293,4.043065672438408e-05,-1.5838682167026287e-05,5.352126951089802e-08,-7.427151819921068e-05,4.465933388001529e-05,5.616938699495243e-07,5.721447802024422e-07
1,0.0015339807878856412,362.66666666666663,72,0.008943689951637194,4.1048301667640016e-05,-1.552848086448521e-05,5.356701829224545e-08,-8.697021397345223e-05,4.453124913455902e-05,-1.1912292777404266e-06,4.828462998274379e-07
1,0.0015339807878856412,384.0,72,0.00940940697210442,4.1712448508364254e-05,-1.5201123333664088e-05,5.359824794644004e-08,-8.124938704776384e-05,4.2943381694621993e-05,-1.2554295024869312e-06,5.234406165236342e-07
1,0.0015339807878856412,405.3333333333333,72,0.009864861337642854,4.24149404523618e-05,-1.4858028316709177e-05,5.358260645166927e-08,-5.268239142160584e-05,4.156414032412214e-05,-1.3045354053206426e-07,5.399388610868423e-07
1,0.0015339807878856412,426.66666666666663,72,0.010309786918807217,4.3144822487356785e-05,-1.4499307563306486e-05,5.360175287731522e-08,-3.726251481950688e-05,4.05895668089387e-05,1.5479134435952753e-07,5.490636700525874e-07
1,0.0015339807878856412,448.0,72,0.01074325456192842,4.39020201846403e-05,-1.4124546239514203e-05,5.3658347953514344e-08,-5.0257078450657446e-05,4.0123977415030804e-05,3.3882503314132486e-07,5.851017419361388e-07
1,0.0015339807878856412,469.3333333333333,72,0.011164577221098065,4.4708859383628306e-05,-1.3734396246531998e-05,5.36679720065564e-08,-5.755774565944699e-05,4.008792457787597e-05,6.698013342606122e-07,5.497325289810498e-07
1,0.0015339807878856412,490.66666666666663,72,0.011573804720102243,4.5574146963965345e-05,-1.3329571288152229e-05,5.3655753753785246e-08,-4.935646847226345e-05,4.062494003455735e-05,3.6247721201839575e-07,4.970303764597577e-07
1,0.0015339807878856412,512.0,72,0.011970733589221455,4.6472226376929157e-05,-1.291037736392932e-05,5.368098253552931e-08,-4.8572102767371586e-05,4.185048382920238e-05,-7.613407716021751e-08,4.890211519875298e-07
1,0.0015339807878856412,533.3333333333333,72,0.012354746756358635,4.738703995932747e-05,-1.2477357550672539e-05,5.371228381806135e-08,-5.0900922205667134e-05,4.3281254978318036e-05,-3.569624541232371e-07,4.732261977423875e-07
1,0.0015339807878856412,554.6666666666666,72,0.01272543637830119,4.832092140612586e-05,-1.203078899406876e-05,5.37305547959391e-08,-4.54488024219494e-05,4.3605558369195065e-05,-4.6179227196236266e-07,5.674846700625858e-07
1,0.0015339807878856412,576.0,72,0.013082437949119216,4.92401943255947e-05,-1.1570899135008087e-05,5.37614599509665e-08,-4.323390018655831e-05,4.3601473748390565e-05,-8.866831733894764e-08,4.7349839270830964e-07
1,0.0015339807878856412,597.3333333333333,72,0.013425318581325346,5.010246122127252e-05,-1.1098653977440375e-05,5.380084462613761e-08,-4.1648765907048075e-05,4.310543048659569e-05,-1.1109965983184554e-07,4.830012053500863e-07
1,0.0015339807878856412,618.6666666666666,72,0.01375384479462546,5.092370678741251e-05,-1.0614691509191688e-05,5.383262421093498e-08,-3.462093032311242e-05,4.183266976795215e-05,-6.433644479698226e-07,4.517894825045476e-07
1,0.0015339807878856412,640.0,72,0.014067735896930425,5.1730861463198425e-05,-1.011900321598529e-05,5.3858237836977704e-08,-3.8114553244180416e-05,4.193367036839612e-05,-3.902900310979395e-07,4.75534191766113e-07
1,0.0015339807878856412,661.3333333333333,72,0.014366550646066694,5.25150295433377e-05,-9.612294530003443e-06,5.38953550372926e-08,-4.7031206565936594e-05,4.325347626476107e-05,9.452949247832301e-08,5.742693695124254e-07
1,0.0015339807878856412,682.6666666666666,72,0.0146499869985915,5.328492286115558e-05,-9.095515592632943e-06,5.3962279713529004e-08,-3.7281629990290896e-05,4.357267556697659e-05,1.0926280426346728e-07,4.912481955222453e-07
