mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
105,2.6016314162540475e+00,2.6016314162540475e+00,3.6792624331623971e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4462265094002650e-01,2.4524120151766829e-01,9.8621298308904527e-04,1.0677507537737560e-03,10,1152
106,2.6261751088602177e+00,2.6261751088602177e+00,3.7139724561167591e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4708707437313038e-01,2.4563911620502693e-01,1.0067989031641159e-03,1.1564140708413863e-03,10,1152
107,2.6507188014663878e+00,2.6507188014663878e+00,3.7486824790711211e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.3958598011622989e-01,2.4043847565533255e-01,1.0017436176021411e-03,1.1028215080462417e-03,10,1152
108,2.6752624940725580e+00,2.6752624940725580e+00,3.7833925020254835e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4264897811853864e-01,2.4169411589415657e-01,9.9394198657644546e-04,8.2359728857253048e-04,10,1152
109,2.6998061866787286e+00,2.6998061866787286e+00,3.8181025249798459e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4235212734860440e-01,2.4153557434204126e-01,1.0350518337962861e-03,6.2360964665348793e-04,10,1152
110,2.7243498792848988e+00,2.7243498792848988e+00,3.8528125479342084e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4017045063374542e-01,2.4209021041980713e-01,9.9653306942826410e-04,1.2143543584511572e-03,10,1152
111,2.7488935718910690e+00,2.7488935718910690e+00,3.8875225708885703e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4670484401304005e-01,2.4699787911786034e-01,1.0119099130159648e-03,9.4971133651354359e-04,10,1152
112,2.7734372644972392e+00,2.7734372644972392e+00,3.9222325938429323e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4676657543983543e-01,2.4733474251387882e-01,1.0031580484166649e-03,6.3447301851622825e-04,10,1152
113,2.7979809571034093e+00,2.7979809571034093e+00,3.9569426167972948e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.3561423795808756e-01,2.3725472998600536e-01,9.8756184817635193e-04,7.5182416369491722e-04,10,1152
114,2.8225246497095799e+00,2.8225246497095799e+00,3.9916526397516572e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.4027482138033396e-01,2.3959219257434627e-01,9.9091735375479435e-04,9.0071701496629599e-04,10,1152
115,2.8470683423157501e+00,2.8470683423157501e+00,4.0263626627060196e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.3976799114059671e-01,2.3892312757218259e-01,9.9260619446995277e-04,6.8594251057816117e-04,10,1152
116,2.8716120349219203e+00,2.8716120349219203e+00,4.0610726856603812e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.3563629504835021e-01,2.3580079977685076e-01,9.5875789561761520e-04,7.8647678321665574e-04,10,1152
117,2.8961557275280905e+00,2.8961557275280905e+00,4.0957827086147436e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.3291375418640411e-01,2.3330821889810055e-01,9.6757752083829942e-04,2.5568413192630067e-04,10,1152
